,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase,ref,date
0,China,81340,+55,3292.0,+5,74588.0,3460,1034.0,57.0,2.0,Jan 10,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
1,USA,104126,"+18,691",1696.0,+401,2522.0,99908,2463.0,315.0,5.0,Jan 20,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
2,Italy,86498,"+5,909",9134.0,+919,10950.0,66414,3732.0,1431.0,151.0,Jan 29,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
3,Spain,65719,"+7,933",5138.0,+773,9357.0,51224,4165.0,1406.0,110.0,Jan 30,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
4,Germany,50871,"+6,933",351.0,+84,6658.0,43862,1581.0,607.0,4.0,Jan 26,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
5,France,32964,"+3,809",1995.0,+299,5700.0,25269,3787.0,505.0,31.0,Jan 23,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
6,Iran,32332,"+2,926",2378.0,+144,11133.0,18821,2893.0,385.0,28.0,Feb 18,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
7,UK,14543,"+2,885",759.0,+181,135.0,13649,163.0,214.0,11.0,Jan 30,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
8,Switzerland,12928,"+1,117",231.0,+39,1530.0,11167,203.0,1494.0,27.0,Feb 24,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
9,S. Korea,9332,+91,139.0,+8,4528.0,4665,59.0,182.0,3.0,Jan 19,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
10,Netherlands,8603,"+1,172",546.0,+112,3.0,8054,761.0,502.0,32.0,Feb 26,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
11,Austria,7697,+788,58.0,+9,225.0,7414,128.0,855.0,6.0,Feb 24,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
12,Belgium,7284,"+1,049",289.0,+69,858.0,6137,690.0,628.0,25.0,Feb 03,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
13,Turkey,5698,"+2,069",92.0,+17,42.0,5564,241.0,68.0,1.0,Mar 09,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
14,Canada,4757,+714,55.0,+16,354.0,4348,120.0,126.0,1.0,Jan 24,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
15,Portugal,4268,+724,76.0,+16,43.0,4149,71.0,419.0,7.0,Mar 01,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
16,Norway,3771,+399,19.0,+5,7.0,3745,70.0,696.0,4.0,Feb 25,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
17,Brazil,3417,+432,92.0,+15,6.0,3319,296.0,16.0,0.4,Feb 24,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
18,Australia,3378,+328,13.0,,170.0,3195,23.0,132.0,0.5,Jan 24,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
19,Sweden,3069,+229,105.0,+28,16.0,2948,214.0,304.0,10.0,Jan 30,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
20,Israel,3035,+342,12.0,+4,79.0,2944,49.0,351.0,1.0,Feb 20,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
21,Czechia,2279,+354,9.0,,11.0,2259,34.0,213.0,0.8,Feb 29,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
22,Malaysia,2161,+130,26.0,+3,259.0,1876,54.0,67.0,0.8,Jan 24,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
23,Ireland,2121,+302,22.0,+3,5.0,2094,59.0,430.0,4.0,Feb 28,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
24,Denmark,2046,+169,52.0,+11,1.0,1993,109.0,353.0,9.0,Feb 26,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
25,Ecuador,1627,+224,41.0,+7,3.0,1583,58.0,92.0,2.0,Feb 28,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
26,Chile,1610,+304,5.0,+1,43.0,1562,7.0,84.0,0.3,Mar 02,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
27,Luxembourg,1605,+152,15.0,+6,40.0,1550,25.0,2564.0,24.0,Feb 28,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
28,Japan,1499,+112,49.0,+2,372.0,1078,56.0,12.0,0.4,Jan 14,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
29,Poland,1389,+168,16.0,,7.0,1366,3.0,37.0,0.4,Mar 03,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
30,Pakistan,1373,+172,11.0,+2,23.0,1339,7.0,6.0,0.05,Feb 25,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
31,Romania,1292,+263,26.0,+3,115.0,1151,32.0,67.0,1.0,Feb 25,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
32,South Africa,1170,+243,2.0,+2,31.0,1137,7.0,20.0,0.03,Mar 04,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
33,Thailand,1136,+91,5.0,+1,97.0,1034,11.0,16.0,0.07,Jan 12,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
34,Saudi Arabia,1104,+92,3.0,,35.0,1066,6.0,32.0,0.09,Mar 01,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
35,Indonesia,1046,+153,87.0,+9,46.0,913,,4.0,0.3,Mar 01,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
36,Finland,1041,+83,7.0,+2,10.0,1024,32.0,188.0,1.0,Jan 28,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
37,Russia,1036,+196,4.0,+1,45.0,987,8.0,7.0,0.03,Jan 30,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
38,Greece,966,+74,28.0,+1,52.0,886,66.0,93.0,3.0,Feb 25,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
39,Iceland,890,+88,2.0,,97.0,791,18.0,2608.0,6.0,Feb 27,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
40,India,887,+160,20.0,,73.0,794,,0.6,0.01,Jan 29,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
41,Philippines,803,+96,54.0,+9,31.0,718,1.0,7.0,0.5,Jan 29,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
42,Panama,786,+112,14.0,+5,2.0,770,20.0,182.0,3.0,Mar 09,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
43,Singapore,732,+49,2.0,,183.0,547,17.0,125.0,0.3,Jan 22,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
44,Diamond Princess,712,,10.0,,597.0,105,15.0,,,Feb 04,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
45,Peru,635,+55,11.0,+2,16.0,608,21.0,19.0,0.3,Mar 05,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
46,Slovenia,632,+70,9.0,+3,10.0,613,14.0,304.0,4.0,Mar 03,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
47,Argentina,589,,13.0,+1,72.0,504,,13.0,0.3,Mar 02,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
48,Croatia,586,+91,3.0,,37.0,546,14.0,143.0,0.7,Feb 24,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
49,Mexico,585,+110,8.0,+2,4.0,573,1.0,5.0,0.06,Feb 27,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
50,Dominican Republic,581,+93,20.0,+10,3.0,558,,54.0,2.0,Feb 29,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
51,Estonia,575,+37,1.0,,11.0,563,7.0,433.0,0.8,Feb 26,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
52,Qatar,562,+13,,,43.0,519,6.0,195.0,,Feb 28,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
53,Colombia,539,+48,6.0,,10.0,523,,11.0,0.1,Mar 05,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
54,Egypt,536,+41,30.0,+6,116.0,390,,5.0,0.3,Feb 13,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
55,Serbia,528,+71,8.0,+1,42.0,478,25.0,60.0,0.9,Mar 05,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
56,Hong Kong,519,+65,4.0,,111.0,404,5.0,69.0,0.5,Jan 22,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
57,Bahrain,466,+8,4.0,,227.0,235,1.0,274.0,2.0,Feb 23,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
58,Iraq,458,+76,40.0,+4,122.0,296,,11.0,1.0,Feb 21,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
59,Algeria,409,+42,26.0,+1,29.0,354,,9.0,0.6,Feb 24,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
60,UAE,405,+72,2.0,,52.0,351,2.0,41.0,0.2,Jan 28,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
61,Lebanon,391,+23,8.0,+2,27.0,356,3.0,57.0,1.0,Feb 20,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
62,New Zealand,368,,,,37.0,331,1.0,76.0,,Feb 27,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
63,Lithuania,358,+59,5.0,+1,1.0,352,2.0,132.0,2.0,Feb 27,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
64,Morocco,345,+70,23.0,+12,11.0,311,1.0,9.0,0.6,Mar 01,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
65,Armenia,329,+39,1.0,,28.0,300,6.0,111.0,0.3,Feb 29,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
66,Ukraine,310,+114,5.0,,5.0,300,,7.0,0.1,Mar 02,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
67,Hungary,300,+39,10.0,,34.0,256,6.0,31.0,1.0,Mar 03,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
68,Bulgaria,293,+29,3.0,,9.0,281,8.0,42.0,0.4,Mar 06,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
69,Latvia,280,+36,,,1.0,279,,148.0,,Mar 01,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
70,Slovakia,269,+43,,,2.0,267,1.0,49.0,,Mar 05,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
71,Andorra,267,+43,3.0,,1.0,263,11.0,3456.0,39.0,Mar 01,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
72,Taiwan,267,+15,2.0,,30.0,235,,11.0,0.08,Jan 20,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
73,Costa Rica,263,+32,2.0,,3.0,258,5.0,52.0,0.4,Mar 04,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
74,Uruguay,238,,,,,238,3.0,69.0,,Mar 12,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
75,Bosnia and Herzegovina,237,+46,4.0,+1,5.0,228,1.0,72.0,1.0,Mar 04,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
76,Jordan,235,+23,1.0,+1,18.0,216,,23.0,0.1,Mar 01,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
77,Tunisia,227,+30,7.0,+2,2.0,218,10.0,19.0,0.6,Mar 01,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
78,Kuwait,225,+17,,,57.0,168,11.0,53.0,,Feb 23,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
79,San Marino,223,+15,21.0,,6.0,196,15.0,6572.0,619.0,Feb 26,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
80,North Macedonia,219,+18,3.0,,3.0,213,1.0,105.0,1.0,Feb 25,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
81,Moldova,199,+22,2.0,+1,2.0,195,33.0,49.0,0.5,Mar 06,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
82,Albania,186,+12,8.0,+2,31.0,147,3.0,65.0,3.0,Mar 07,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
83,Burkina Faso,180,+28,9.0,+2,12.0,159,,9.0,0.4,Mar 08,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
84,Azerbaijan,165,+43,3.0,,15.0,147,6.0,16.0,0.3,Feb 27,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
85,Vietnam,163,+10,,,20.0,143,3.0,2.0,,Jan 22,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
86,Cyprus,162,+16,5.0,+2,15.0,142,3.0,134.0,4.0,Mar 08,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
87,Kazakhstan,150,+37,1.0,,3.0,146,,8.0,0.05,Mar 12,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
88,Réunion,145,+10,,,1.0,144,,162.0,,Mar 10,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
89,Faeroe Islands,144,+4,,,54.0,90,2.0,2947.0,,Mar 03,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
90,Malta,139,+5,,,2.0,137,1.0,315.0,,Mar 06,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
91,Ghana,137,+5,4.0,,2.0,131,1.0,4.0,0.1,Mar 11,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
92,Oman,131,+22,,,23.0,108,,26.0,,Feb 23,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
93,Senegal,119,+14,,,11.0,108,,7.0,,Mar 01,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
94,Brunei,115,+1,,,11.0,104,1.0,263.0,,Mar 08,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
